case_id,accepted,first_withdrawal_amount,monthly_cost,payback_period,requested_amount,offered_amount,credit_score,offer_amt_less_than_requested,chased
Application_1000334415,1,5000,152.82,36,5000,5000,0,0,0
Application_1000339879,1,0,375,126,37500,37500,798,0,0
Application_100034150,0,577,56.3,120,5000,5000,824,0,0
Application_1000386745,1,5000,100.25,58,5000,5000,1080,0,0
Application_1000610355,0,3500,200,57,10000,10000,0,0,0
Application_1000956993,1,11500,153.93,90,11500,11500,970,0,0
Application_1001177986,1,7065,264.74,120,26000,26000,972,0,1
Application_1001274919,1,1500,75,138,7500,7500,888,0,0
Application_1001484676,0,0,700,31,20000,20000,810,0,0
Application_1001624285,0,0,300,84,20000,21500,0,0,0
Application_1001858108,1,0,200,107,0,17500,836,0,0
Application_1001866944,1,11120,535.22,51,10000,25000,896,0,0
Application_1002013470,1,6402.36,319.2,60,17000,17000,0,0,0
Application_1002129113,1,30000,305.47,120,30000,30000,964,0,0
Application_100239804,1,7500,148.2,59,7500,7500,835,0,0
Application_1002602375,1,6000,99.2,73,6000,6000,895,0,1
Application_1002843616,1,9000,101.34,120,0,9000,911,0,0
Application_1003092772,0,11000,246.95,50,11000,11000,0,0,0
Application_1003184938,1,6000,136.79,50,6000,6000,1029,0,0
Application_1003264681,1,0,350,65,20000,20000,0,0,1
Application_1003444518,1,4000,205.49,120,20000,20000,0,0,0
Application_1004303396,1,15000,200.1,90,15000,15000,1006,0,1
Application_100433898,1,15700,343.63,50,15700,15700,781,0,1
Application_1004385970,1,10000,189.08,60,10000,10000,1004,0,0
Application_1004667877,1,2500,100,58,5000,5000,895,0,0
Application_1004718670,0,0,150,127,15000,15000,0,0,0
Application_1005342157,0,17000,297.83,64,17000,17000,783,0,0
Application_1005465952,1,5864.08,427.65,120,42000,42000,862,0,0
Application_1005677212,1,0,250,126,25000,25000,823,0,0
Application_100589233,1,0,190,127,19000,19000,0,0,0
Application_1006019928,1,0,250,69,15000,15000,1034,0,0
Application_1006214165,1,5169.03,360.85,120,34500,34500,844,0,0
Application_1006458332,0,10000,250,45,10000,10000,914,0,0
Application_1007290684,1,0,1295.57,20,25000,25000,969,0,0
Application_1007516030,1,6700,204.78,36,6700,6700,927,0,0
Application_1007929195,0,500,100,134,0,10000,751,0,0
Application_1008205514,1,0,71,138,6100,7100,825,0,0
Application_1008477029,1,0,349.97,65,20000,20000,772,0,0
Application_1008513010,0,0,120,47,5000,5000,859,0,0
Application_1008663678,0,5000,97.4,60,5000,5000,0,0,0
Application_1008820487,1,22500,417.56,60,22500,22500,0,0,0
Application_1008885658,1,12000,315.05,42,12000,12000,868,0,0
Application_1008893228,1,8992,652.6,36,24000,22000,949,1,1
Application_1008980114,1,1969,498.93,120,49000,49000,888,0,0
Application_1009117608,1,12900,246.74,60,12900,12900,1030,0,0
Application_1009327734,1,0,300,56,14000,15000,778,0,0
Application_1009359277,1,12000,300,56,15000,15000,0,0,0
Application_100942591,1,15000,300,56,15000,15000,925,0,0
Application_1009442649,1,5000,200,127,20000,20000,750,0,1
Application_1009443818,0,0,350,41,13000,13000,0,0,0
Application_1009956698,1,0,400.71,47,17256,17300,879,0,0
Application_1010016709,1,18000,456.42,43,18000,18000,1049,0,0
Application_101013624,1,4000,100,102,8000,8000,917,0,0
Application_1010146666,0,0,250,55,0,12000,0,0,0
Application_101015826,1,5390,199.61,120,19000,19000,914,0,0
Application_1010273024,1,0,260,126,26000,26000,0,0,0
Application_1010284825,1,16000,393.8,44,16000,16000,1006,0,0
Application_1010578897,1,2400,152.82,36,5000,5000,823,0,0
Application_1010651948,1,18000,334.05,60,18000,18000,878,0,0
Application_101073762,1,840,301.06,55,14250,15000,883,0,1
Application_1010825982,1,0,700,126,75000,70000,0,1,0
Application_101092690,0,20000,350,126,35000,35000,879,0,0
Application_1011007304,1,1000,275,118,0,26000,0,0,1
Application_1011743105,1,25000,500,61,27000,27000,0,0,0
Application_1012691702,0,1228,336.01,120,35000,33000,0,1,0
Application_1012709826,0,0,335,126,33500,33500,0,0,0
Application_1012727008,1,8000,245.89,36,8000,8000,1049,0,0
Application_101281963,0,5000,375,126,37500,37500,0,0,1
Application_1012880100,1,25000,254.56,120,25000,25000,926,0,0
Application_1014760259,0,0,250,23,5300,5300,0,0,0
Application_1014798002,1,15000,296.2,56,15000,15000,0,0,0
Application_1014824736,0,5000,150,80,10000,10000,0,0,0
Application_1015071619,0,15000,154.11,120,15000,15000,680,0,1
Application_1015084008,1,3858.35,201.08,87,15000,15000,916,0,0
Application_1015183847,1,15000,299.46,56,15000,15000,987,0,0
Application_1015245209,1,142.06,228.11,90,17100,17100,866,0,0
Application_1015311658,1,5000,222.31,24,5000,5000,1110,0,0
Application_1015323110,1,5000,100.25,58,5000,5000,0,0,0
Application_101540725,0,5000,222.31,24,5000,5000,777,0,0
Application_1015546073,1,5000,222.31,24,5000,5000,1081,0,0
Application_1015944019,1,30000,313.78,120,30000,30000,870,0,0
Application_1016282069,1,5194,136.01,120,0,12500,1025,0,0
Application_101639139,1,4709,483.66,120,47500,47500,959,0,0
Application_1016463575,1,10000,108.81,120,15000,10000,841,1,0
Application_1016632627,1,0,500,126,50000,50000,768,0,0
Application_1016816804,1,2624,86.2,72,5000,5100,1047,0,0
Application_1016977130,0,15000,278.38,60,15000,15000,831,0,1
Application_1017220956,0,20000,205.49,120,20000,20000,887,0,0
Application_101731242,0,15000,154.11,120,15000,15000,602,0,0
Application_1017578132,1,2000,150,127,0,15000,0,0,0
