case_id,accepted,first_withdrawal_amount,monthly_cost,payback_period,requested_amount,offered_amount,credit_score,offer_amt_less_than_requested,pb_treat
Application_828200680,1,35000,366.08,120,35000,35000,0,0,0
Application_1966208034,1,0,400,126,40000,40000,0,0,1
Application_857715587,1,0,400,126,40000,40000,0,0,1
Application_798605556,1,35000,366.08,120,35000,35000,0,0,0
Application_1370588808,1,25000,261.48,120,25000,25000,0,0,0
Application_93597308,1,23837,522.97,120,50000,50000,0,0,0
Application_914660918,0,4000,250,126,25000,25000,0,0,1
Application_927205634,1,0,250,126,0,25000,0,0,1
Application_37839400,1,0,250,126,25000,25000,0,0,1
Application_525275343,0,0,449.75,120,43000,43000,0,0,0
Application_106973225,1,0,300,126,30000,30000,0,0,1
Application_1301009504,0,3411.28,355.62,120,35000,34000,0,1,0
Application_1428307326,1,5000,250,126,25000,25000,0,0,1
Application_1499869275,0,100,300,126,30000,30000,0,0,1
Application_409724822,1,25000,261.48,120,38500,25000,0,1,0
Application_503966930,0,0,360,126,36000,36000,0,0,1
Application_911291915,1,0,250,126,25000,25000,0,0,1
Application_1302654957,1,0,335,126,37500,33500,0,1,1
Application_1930715945,0,30500,319.01,120,35000,30500,0,1,0
Application_242156921,1,10000,500,126,50000,50000,0,0,1
Application_1091101077,0,0,500,126,50000,50000,0,0,1
Application_1853330214,1,5000,300,126,30000,30000,0,0,1
Application_1724196691,1,0,400,126,0,40000,0,0,1
Application_2081147987,0,14200,211.98,120,20000,20000,0,0,0
Application_5240566,0,31100,366.08,120,35000,35000,0,0,0
Application_1938300690,1,45000,470.67,120,45000,45000,0,0,0
Application_385432676,0,14000,522.97,120,0,50000,0,0,0
Application_1779355171,1,17500,250,126,0,25000,0,0,1
Application_768179563,0,22225,345.16,120,37000,33000,0,1,0
Application_122336824,0,21500,243.78,120,24000,23000,0,1,0
Application_1589119859,1,30000,313.78,120,30000,30000,0,0,0
Application_2040345264,1,5000,425,126,42500,42500,0,0,1
Application_1976912656,1,30000,313.78,120,30000,30000,0,0,0
Application_296295477,1,0,270,126,32000,27000,0,1,1
Application_822422484,1,0,250,126,25000,25000,0,0,1
Application_891389450,1,10000,300,126,30000,30000,0,0,1
Application_519973903,0,0,250,126,25000,25000,0,0,1
Application_909739848,1,0,250,126,0,25000,0,0,1
Application_526545505,0,0,250,126,25000,25000,0,0,1
Application_425655583,0,25000,261.48,120,25000,25000,0,0,0
Application_913859491,1,25000,261.48,120,23000,25000,0,0,0
Application_1837644768,1,0,500,126,50000,50000,0,0,1
Application_555366492,0,0,417,126,42000,41640,0,1,1
Application_1800788442,0,25000,250,126,25000,25000,0,0,1
Application_1560596102,0,5447,366.08,120,0,35000,0,0,0
Application_1220146067,0,18000,190.78,120,18000,18000,0,0,0
Application_1408374544,1,25000,261.48,120,25000,25000,0,0,0
Application_158313942,1,13087,285.54,120,0,27300,0,0,0
Application_1231383244,1,12500,138.37,120,12500,12500,0,0,0
Application_1207038345,0,1000,470,126,50000,47000,0,1,1
Application_236021168,0,30000,313.78,120,30000,30000,0,0,0
Application_1982597468,0,12000,500,126,50000,50000,0,0,1
Application_1331441624,1,4213,261.48,120,25000,25000,0,0,0
Application_672060895,0,15000,158.98,120,15000,15000,0,0,0
Application_958076943,1,36000,418.37,120,40000,40000,0,0,0
Application_521278806,1,34000,355.62,120,35000,34000,0,1,0
Application_1867921610,0,47000,491.59,120,50000,47000,0,1,0
Application_224758141,1,30000,313.78,120,30000,30000,0,0,0
Application_477598161,1,0,400,126,40000,40000,0,0,1
Application_288955533,1,5000,250,126,25000,25000,0,0,1
Application_2097609434,1,5000,250,126,25000,25000,0,0,1
Application_323048075,0,7500,325,126,0,32500,0,0,1
Application_1762711881,1,0,375,126,37500,37500,0,0,1
Application_644820841,1,0,500,126,50000,50000,0,0,1
Application_1698374359,1,20172.27,512.51,120,49000,49000,0,0,0
Application_1148948732,0,0,250,126,0,25000,0,0,1
Application_1755216521,1,0,500,126,50000,50000,0,0,1
Application_673424886,1,10000,400,126,40000,40000,0,0,1
Application_69300339,1,21382,522.97,120,0,50000,0,0,0
Application_473491507,1,8000,91.62,120,8000,8000,0,0,0
Application_1090244272,1,18500,261.48,120,25000,25000,0,0,0
Application_1352321084,1,0,350,126,35000,35000,0,0,1
Application_1569654923,1,4000,250,126,25000,25000,0,0,1
Application_424540764,1,0,350,126,35000,35000,0,0,1
Application_1565253423,1,6875,366.08,120,0,35000,0,0,0
Application_1784350386,0,0,425,126,42500,42500,0,0,1
Application_701872976,1,4800,522.97,120,50000,50000,0,0,0
Application_971306755,0,37000,386.99,120,0,37000,0,0,0
Application_1824540654,0,36000,360,126,0,36000,0,0,1
Application_1419186456,1,40000,418.37,120,40000,40000,0,0,0
Application_245497030,1,92,301.23,120,30000,28800,0,1,0
Application_1879432062,0,10000,110.7,120,10000,10000,0,0,0
Application_1003575962,0,0,420,126,42000,42000,0,0,1
Application_1542239327,1,0,400,126,40000,40000,0,0,1
Application_1475013193,0,6400,110.7,120,10000,10000,0,0,0
Application_1791016953,1,0,450,126,0,45000,0,0,1
Application_16686366,0,35000,366.08,120,35000,35000,0,0,0
Application_2000400044,1,0,449.75,120,43000,43000,0,0,0
Application_1426045114,0,25000,261.48,120,25000,25000,0,0,0
Application_415292216,1,50000,522.97,120,50000,50000,0,0,0
Application_1985375927,0,0,380,126,38000,38000,0,0,1
Application_2051660661,1,0,400,126,40000,40000,0,0,1
Application_1033307487,1,0,500,126,0,50000,0,0,1
Application_1548427030,0,14960,460.21,120,44000,44000,0,0,0
Application_773469136,0,3000,397.45,120,0,38000,0,0,0
Application_142824357,1,0,350,126,35000,35000,0,0,1
Application_1695855849,1,0,290,126,29000,29000,0,0,1
